0:	5.454826283245E-06
1:	9.629607812854E-06
2:	1.336987653604E-05
3:	1.752348351969E-05
4:	2.207150927719E-05
5:	2.602757654855E-05
6:	2.976372221181E-05
7:	3.312635669405E-05
8:	3.611079953500E-05
9:	3.941602612152E-05
10:	4.236963827969E-05
11:	4.567569101088E-05
12:	4.929920453652E-05
13:	5.188704398449E-05
14:	5.390789062057E-05
15:	5.637812732350E-05
16:	5.917364005376E-05
17:	6.232430242448E-05
18:	6.527392816134E-05
19:	6.773717290833E-05
20:	6.992040747055E-05
21:	7.242411520521E-05
22:	7.563581835128E-05
23:	7.926641093578E-05
24:	8.247358649171E-05
25:	8.507049802378E-05
26:	8.728690616417E-05
27:	8.973449744600E-05
28:	9.271734178181E-05
29:	9.590633949899E-05
30:	9.888503556739E-05
31:	1.014297560865E-04
32:	1.037611074862E-04
33:	1.062422478370E-04
34:	1.090257477844E-04
35:	1.119542687489E-04
36:	1.147446694436E-04
37:	1.172449460612E-04
38:	1.195773586675E-04
39:	1.220006368368E-04
40:	1.246393535225E-04
41:	1.273883052172E-04
42:	1.300368407726E-04
43:	1.324680449370E-04
44:	1.348498992496E-04
45:	1.374184555269E-04
46:	1.400968935504E-04
47:	1.428395347113E-04
48:	1.455382364554E-04
49:	1.481273928691E-04
50:	1.506536683172E-04
51:	1.532122766647E-04
52:	1.558570653648E-04
53:	1.585516781746E-04
54:	1.612017132416E-04
55:	1.637722224144E-04
56:	1.662979328357E-04
57:	1.688457186747E-04
58:	1.714501464143E-04
59:	1.740822692263E-04
60:	1.766903255932E-04
61:	1.792447775865E-04
62:	1.817635481223E-04
63:	1.842955635491E-04
64:	1.868675829994E-04
65:	1.894632634884E-04
66:	1.920410656062E-04
67:	1.945819372149E-04
68:	1.971029162938E-04
69:	1.996349974365E-04
70:	2.021948132300E-04
71:	2.047741268590E-04
72:	2.073884970303E-04
73:	2.099803574641E-04
74:	2.125596340951E-04
75:	2.151495946814E-04
76:	2.177630927204E-04
77:	2.203932989411E-04
78:	2.230166200000E-04
79:	2.256229419904E-04
80:	2.282218162251E-04
81:	2.308285659354E-04
82:	2.334512297231E-04
83:	2.360843274837E-04
84:	2.387144303855E-04
85:	2.413344159431E-04
86:	2.439486811784E-04
87:	2.465700445445E-04
88:	2.492023819773E-04
89:	2.518423847741E-04
90:	2.544805440111E-04
91:	2.571109149850E-04
92:	2.597385086499E-04
93:	2.623712123276E-04
94:	2.650123427215E-04
95:	2.676594456829E-04
96:	2.703063616697E-04
97:	2.729483850139E-04
98:	2.755883157647E-04
99:	2.782315983880E-04
100:	2.808890857938E-04
101:	2.835593211779E-04
102:	2.862308280815E-04
103:	2.889013074774E-04
104:	2.915720786817E-04
105:	2.942467035190E-04
106:	2.969260709513E-04
107:	2.996108531234E-04
108:	3.022993755223E-04
109:	3.049897856071E-04
110:	3.076826275477E-04
111:	3.103795434337E-04
112:	3.130832811247E-04
113:	3.157928651747E-04
114:	3.185051522550E-04
115:	3.212177463872E-04
116:	3.239337738791E-04
117:	3.266550935248E-04
118:	3.293825066671E-04
119:	3.321151895307E-04
120:	3.348523232545E-04
121:	3.375925659057E-04
122:	3.403354847927E-04
123:	3.430814755235E-04
124:	3.458333486229E-04
125:	3.485917904488E-04
126:	3.513537487209E-04
127:	3.541193544366E-04
128:	3.568885577643E-04
129:	3.596617485558E-04
130:	3.624446500644E-04
131:	3.652328219960E-04
132:	3.680249853184E-04
133:	3.708199548835E-04
134:	3.736187502480E-04
135:	3.764222064426E-04
136:	3.792303314649E-04
137:	3.820437195167E-04
138:	3.848610719596E-04
139:	3.876821487205E-04
140:	3.905064016624E-04
141:	3.933351904332E-04
142:	3.961678236969E-04
143:	3.990051852746E-04
144:	4.018467888358E-04
145:	4.046922417318E-04
